Time,Y,Yd,Ydd
4.62486,-1264.93,1250.63,3711.41
4.63683,-1249.7,1295.04,3711.41
4.64879,-1233.93,1339.46,3711.41
4.66076,-1217.64,1383.87,3711.41
4.67273,-1200.81,1428.28,3711.41
4.68469,-1183.46,1472.69,3711.41
4.69666,-1165.57,1517.11,3711.41
4.70863,-1147.15,1561.52,3711.41
4.72059,-1128.2,1605.93,3711.41
4.73256,-1108.71,1650.34,3711.41
4.74452,-1088.7,1694.76,3711.41
4.75649,-1068.15,1739.17,3711.41
4.76846,-1047.07,1783.58,3711.41
4.78042,-1025.47,1827.99,3711.41
4.79239,-1003.33,1872.41,3711.41
4.80436,-980.653,1916.82,3711.41
4.81632,-957.45,1961.23,3711.41
4.82829,-933.716,2005.64,3711.41
4.84026,-909.449,2050.06,3711.41
4.85222,-884.652,2094.47,3711.41
4.86419,-859.322,2138.88,3711.41
4.87616,-833.462,2183.29,3711.41
4.88812,-807.07,2227.71,3711.41
4.90009,-780.146,2272.12,3711.41
4.91206,-752.692,2316.53,3711.41
4.92402,-724.705,2360.94,3711.41
4.93599,-696.188,2405.36,3711.41
4.94795,-667.138,2449.77,3711.41
4.95992,-637.557,2494.18,3711.41
4.97189,-607.445,2538.59,3711.41
4.98385,-576.801,2583.01,3711.41
